"","ROI","date","doy","r.av","g.av","b.av","r.sd","g.sd","b.sd","bri.av","bri.sd","gi.av","gi.sd","gei.av","gei.sd","ri.av","ri.sd","bi.av","bi.sd"
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.22",1,2019-07-24 12:00:00,205,118.67990784697,148.023724751001,92.609577166527,36.4860682139286,34.8231137000171,34.0290111463411,359.313209764498,102.209005191078,0.421084607182306,0.0497409321366478,84.7579644885042,24.4585934834526,0.328154487915525,0.0334108891358536,0.250760904902168,0.0381430479913129
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.23",1,2019-07-25 12:00:00,206,129.145315554314,152.202614493158,83.0848517639393,35.0465163893704,32.0904381105359,31.9416491824104,364.432781811412,95.7489079053422,0.426050361944112,0.0463344260683615,92.1750616680629,25.562338208229,0.353966852132478,0.02992851842797,0.219982785923409,0.0402317836635586
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.24",1,2019-07-26 12:00:00,207,151.826689472214,167.456646188216,95.4028786186354,51.9799198227847,49.3229613133381,53.5346651537756,414.686214279065,149.245793605445,0.417748839000154,0.0602373348445003,87.6837242855813,41.5366407344318,0.368879149184604,0.0364032532159238,0.213372011815242,0.0620743559506752
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.25",1,2019-07-27 12:00:00,208,119.002798333799,142.1871102113,82.3833542772038,33.0411813143911,29.8827145844246,29.3321321064251,343.573262822303,89.3046224637419,0.421482842028829,0.0434133408957224,82.9880678115983,23.9025912351907,0.345212152782088,0.0284667005276106,0.233305005189083,0.0350911376482622
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.26",1,2019-07-28 12:00:00,209,148.315077259611,163.444161314344,93.9721970120078,52.9955188634889,50.6745654327369,54.6216402454837,405.731435585963,152.726916118079,0.417093741917392,0.0611248541520411,84.6010483570697,41.50153552378,0.368510202665033,0.0375089047400887,0.214396055417575,0.0632110518342943
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.27",1,2019-07-29 12:00:00,210,146.893692404356,161.349477566788,90.6990074932514,51.4753172662558,49.4779074900013,51.5098092363525,398.942177464395,146.971134098554,0.417672134385369,0.0595150877548029,85.1062552359676,40.2149227100781,0.370998110679043,0.0373530674038782,0.211329754935588,0.0613501122966746
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.28",1,2019-07-30 12:00:00,211,151.921978264917,165.159714465233,94.9884517825561,51.0189220361881,48.3300563181832,52.0694377984172,412.070144512706,145.886990147871,0.412834526089919,0.0551433182040597,83.4089988829936,39.7543566987622,0.371514537675464,0.0356847406452528,0.215650936234618,0.059271409306848
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.29",1,2019-07-31 12:00:00,212,145.320604114307,159.478794331192,92.5095760029787,51.8631764510279,50.2606636771912,52.5106033760481,397.308974448478,149.233430371716,0.414342645711847,0.0593066847182806,81.1274085450991,40.3610639064825,0.368816805416269,0.0387000098623018,0.216840548871884,0.0610585799205455
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.30",1,2019-08-01 12:00:00,213,133.091606162152,157.473983058736,97.6966047658941,40.235420588913,37.9414661905958,40.4468592012247,388.262193986782,114.92514767363,0.414979469499188,0.0495243375945543,84.1597551894257,31.4642744241291,0.342344861179446,0.0296298074544493,0.242675669321366,0.0428495886842663
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.31",1,2019-08-02 12:00:00,214,145.289496648981,158.640044680257,86.5035255515219,48.4599978479302,47.2480221861999,47.4462912925925,390.43306688076,137.701269082639,0.417659773277214,0.0555913369236391,85.4870671600112,38.5072281343928,0.375429441024741,0.0381809032866959,0.206910785698045,0.0591330785625276
